구,동,평균
종로구,청운동,48
종로구,신교동,48
종로구,궁정동,48
종로구,효자동,48
종로구,창성동,48
종로구,통의동,46
종로구,적선동,46
종로구,통인동,48
종로구,누상동,48
종로구,누하동,48
종로구,옥인동,48
종로구,체부동,46
종로구,필운동,46
종로구,내자동,46
종로구,사직동,46
종로구,도렴동,46
종로구,당주동,46
종로구,내수동,46
종로구,세종로,50
종로구,신문로1가,46
종로구,신문로2가,46
종로구,청진동,56
종로구,서린동,56
종로구,수송동,56
종로구,중학동,56
종로구,종로1가,56
종로구,공평동,56
종로구,관훈동,56
종로구,견지동,56
종로구,와룡동,54
종로구,권농동,56
종로구,운니동,56
종로구,익선동,56
종로구,경운동,56
종로구,관철동,56
종로구,인사동,56
종로구,낙원동,56
종로구,종로2가,56
종로구,팔판동,44
종로구,삼청동,44
종로구,안국동,44
종로구,소격동,44
종로구,화동,44
종로구,사간동,44
종로구,송현동,44
종로구,가회동,58
종로구,재동,58
종로구,계동,58
종로구,원서동,58
종로구,훈정동,56
종로구,묘동,56
종로구,봉익동,56
종로구,돈의동,56
종로구,장사동,56
종로구,관수동,56
종로구,종로3가,56
종로구,인의동,56
종로구,예지동,56
종로구,원남동,56
종로구,연지동,47
종로구,종로4가,56
종로구,효제동,47
종로구,종로5가,47
종로구,종로6가,47
종로구,이화동,49
종로구,연건동,49
종로구,충신동,47
종로구,동숭동,49
종로구,혜화동,53
종로구,명륜1가,53
종로구,명륜2가,53
종로구,명륜4가,53
종로구,명륜3가,53
종로구,창신동,54
종로구,숭인동,58
종로구,교남동,42
종로구,평동,42
종로구,송월동,42
종로구,홍파동,42
종로구,교북동,42
종로구,행촌동,42
종로구,구기동,54
종로구,평창동,54
종로구,부암동,49
종로구,홍지동,49
종로구,신영동,49
종로구,무악동,47
종로구,,50.6551724137931
중구,무교동,48
중구,다동,48
중구,태평로1가,48
중구,을지로1가,48
중구,을지로2가,48
중구,남대문로1가,48
중구,삼각동,48
중구,수하동,48
중구,장교동,48
중구,수표동,48
중구,소공동,47
중구,남창동,46
중구,북창동,47
중구,태평로2가,47
중구,남대문로2가,48
중구,남대문로3가,46
중구,남대문로4가,46
중구,남대문로5가,46
중구,봉래동1가,46
중구,봉래동2가,46
중구,회현동1가,47
중구,회현동2가,47
중구,회현동3가,48
중구,충무로1가,47
중구,충무로2가,48
중구,명동1가,48
중구,명동2가,48
중구,남산동1가,48
중구,남산동2가,48
중구,남산동3가,48
중구,저동1가,48
중구,충무로4가,50
중구,충무로5가,50
중구,인현동2가,52
중구,예관동,52
중구,묵정동,51
중구,필동1가,48
중구,필동2가,48
중구,필동3가,48
중구,남학동,48
중구,주자동,48
중구,예장동,48
중구,장충동1가,53
중구,장충동2가,51
중구,광희동1가,52
중구,광희동2가,52
중구,쌍림동,52
중구,을지로6가,52
중구,을지로7가,52
중구,을지로4가,52
중구,을지로5가,52
중구,주교동,52
중구,방산동,52
중구,오장동,52
중구,을지로3가,52
중구,입정동,52
중구,산림동,52
중구,충무로3가,48
중구,초동,52
중구,인현동1가,52
중구,저동2가,52
중구,신당동,60
중구,흥인동,60
중구,무학동,60
중구,황학동,59
중구,서소문동,47
중구,정동,47
중구,순화동,46
중구,의주로1가,47
중구,충정로1가,47
중구,중림동,52
중구,의주로2가,52
중구,만리동1가,52
중구,만리동2가,52
중구,,49.7027027027027
용산구,후암동,47
용산구,용산동2가,48
용산구,용산동4가,48
용산구,갈월동,47
용산구,남영동,47
용산구,용산동1가,47
용산구,동자동,47
용산구,서계동,44
용산구,청파동1가,44
용산구,청파동2가,44
용산구,청파동3가,44
용산구,원효로1가,54
용산구,원효로2가,54
용산구,신창동,57
용산구,산천동,57
용산구,청암동,57
용산구,원효로3가,57
용산구,원효로4가,57
용산구,효창동,59
용산구,도원동,71
용산구,용문동,71
용산구,문배동,54
용산구,신계동,54
용산구,한강로1가,55
용산구,한강로2가,55
용산구,용산동3가,55
용산구,용산동5가,55
용산구,한강로3가,55
용산구,이촌동,58
용산구,이태원동,52
용산구,한남동,51
용산구,동빙고동,50
용산구,서빙고동,50
용산구,주성동,50
용산구,용산동6가,50
용산구,보광동,54
용산구,,52.75
성동구,상왕십리동,65
성동구,하왕십리동,132
성동구,홍익동,65
성동구,도선동,65
성동구,마장동,50
성동구,사근동,60
성동구,행당동,102
성동구,응봉동,79
성동구,금호동1가,71
성동구,금호동2가,66
성동구,금호동3가,66
성동구,금호동4가,64
성동구,옥수동,52
성동구,성수동1가,55
성동구,성수동2가,61
성동구,송정동,68
성동구,용답동,66
성동구,,69.82352941176471
광진구,중곡동,48
광진구,능동,44
광진구,구의동,58
광진구,광장동,65
광진구,자양동,53
광진구,화양동,53
광진구,군자동,36
광진구,,51.0
동대문구,신설동,35
동대문구,용두동,35
동대문구,제기동,46
동대문구,전농동,48
동대문구,답십리동,57
동대문구,장안동,59
동대문구,청량리동,44
동대문구,회기동,47
동대문구,휘경동,45
동대문구,이문동,47
동대문구,,46.3
중랑구,면목동,42
중랑구,상봉동,42
중랑구,중화동,37
중랑구,묵동,35
중랑구,망우동,84
중랑구,신내동,97
중랑구,,56.166666666666664
성북구,성북동,46
성북구,성북동1가,46
성북구,돈암동,50
성북구,동소문동1가,46
성북구,동소문동2가,55
성북구,동소문동3가,55
성북구,동소문동4가,46
성북구,동소문동5가,55
성북구,동소문동6가,53
성북구,동소문동7가,53
성북구,삼선동1가,55
성북구,삼선동2가,55
성북구,삼선동3가,55
성북구,삼선동4가,55
성북구,삼선동5가,55
성북구,동선동1가,53
성북구,동선동2가,53
성북구,동선동3가,53
성북구,동선동4가,53
성북구,동선동5가,53
성북구,안암동1가,57
성북구,안암동2가,57
성북구,안암동3가,57
성북구,안암동4가,57
성북구,안암동5가,57
성북구,보문동4가,45
성북구,보문동5가,45
성북구,보문동6가,45
성북구,보문동7가,45
성북구,보문동1가,45
성북구,보문동2가,45
성북구,보문동3가,45
성북구,정릉동,46
성북구,길음동,43
성북구,종암동,47
성북구,하월곡동,47
성북구,상월곡동,43
성북구,장위동,45
성북구,석관동,44
성북구,,50.256410256410255
강북구,미아동,46
강북구,번동,52
강북구,수유동,39
강북구,우이동,51
강북구,,47.0
도봉구,쌍문동,34
도봉구,방학동,33
도봉구,창동,52
도봉구,도봉동,43
도봉구,,40.5
노원구,월계동,41
노원구,공릉동,39
노원구,하계동,41
노원구,상계동,42
노원구,중계동,55
노원구,,43.6
은평구,수색동,48
은평구,녹번동,41
은평구,불광동,38
은평구,갈현동,42
은평구,구산동,41
은평구,대조동,43
은평구,응암동,45
은평구,역촌동,47
은평구,신사동,50
은평구,증산동,44
은평구,진관동,48
은평구,,44.27272727272727
서대문구,충정로2가,50
서대문구,충정로3가,50
서대문구,합동,50
서대문구,미근동,50
서대문구,냉천동,45
서대문구,천연동,45
서대문구,옥천동,45
서대문구,영천동,45
서대문구,현저동,45
서대문구,북아현동,51
서대문구,홍제동,48
서대문구,대현동,55
서대문구,대신동,59
서대문구,신촌동,59
서대문구,봉원동,59
서대문구,창천동,59
서대문구,연희동,48
서대문구,홍은동,38
서대문구,북가좌동,47
서대문구,남가좌동,83
서대문구,,51.55
마포구,아현동,49
마포구,공덕동,48
마포구,신공덕동,52
마포구,도화동,53
마포구,용강동,50
마포구,토정동,50
마포구,마포동,53
마포구,대흥동,52
마포구,염리동,48
마포구,노고산동,62
마포구,신수동,54
마포구,현석동,53
마포구,구수동,53
마포구,창전동,57
마포구,상수동,57
마포구,하중동,57
마포구,신정동,55
마포구,당인동,57
마포구,서교동,71
마포구,동교동,71
마포구,합정동,65
마포구,망원동,65
마포구,연남동,72
마포구,성산동,77
마포구,중동,87
마포구,상암동,58
마포구,,58.69230769230769
양천구,신정동,66
양천구,목동,106
양천구,신월동,89
양천구,,87.0
강서구,염창동,163
강서구,등촌동,160
강서구,화곡동,124
강서구,가양동,131
강서구,마곡동,155
강서구,내발산동,191
강서구,외발산동,216
강서구,공항동,125
강서구,방화동,132
강서구,개화동,138
강서구,과해동,120
강서구,오곡동,120
강서구,오쇠동,120
강서구,,145.76923076923077
구로구,신도림동,63
구로구,구로동,61
구로구,가리봉동,51
구로구,고척동,66
구로구,개봉동,53
구로구,오류동,58
구로구,궁동,58
구로구,온수동,58
구로구,천왕동,53
구로구,항동,53
구로구,,57.4
금천구,가산동,69
금천구,독산동,70
금천구,시흥동,46
금천구,,61.666666666666664
영등포구,영등포동,100
영등포구,영등포동1가,120
영등포구,영등포동2가,120
영등포구,영등포동3가,120
영등포구,영등포동4가,120
영등포구,영등포동5가,120
영등포구,영등포동6가,120
영등포구,영등포동7가,120
영등포구,영등포동8가,120
영등포구,여의도동,91
영등포구,당산동1가,68
영등포구,당산동2가,68
영등포구,당산동3가,68
영등포구,당산동4가,73
영등포구,당산동5가,73
영등포구,당산동6가,73
영등포구,당산동,73
영등포구,도림동,71
영등포구,문래동1가,67
영등포구,문래동2가,67
영등포구,문래동3가,67
영등포구,문래동4가,67
영등포구,문래동5가,67
영등포구,문래동6가,67
영등포구,양평동1가,73
영등포구,양평동2가,73
영등포구,양평동3가,72
영등포구,양평동4가,72
영등포구,양평동5가,72
영등포구,양평동6가,72
영등포구,양화동,72
영등포구,신길동,74
영등포구,대림동,68
영등포구,양평동,72
영등포구,,83.52941176470588
동작구,노량진동,65
동작구,상도동,65
동작구,상도1동,60
동작구,본동,58
동작구,흑석동,58
동작구,동작동,39
동작구,사당동,68
동작구,대방동,78
동작구,신대방동,94
동작구,,65.0
관악구,봉천동,88
관악구,신림동,80
관악구,남현동,76
관악구,,81.33333333333333
서초구,방배동,59
서초구,양재동,49
서초구,우면동,51
서초구,원지동,46
서초구,잠원동,45
서초구,반포동,47
서초구,서초동,42
서초구,내곡동,42
서초구,염곡동,42
서초구,신원동,42
서초구,,46.5
강남구,역삼동,77
강남구,개포동,46
강남구,청담동,74
강남구,삼성동,73
강남구,대치동,66
강남구,신사동,77
강남구,논현동,63
강남구,압구정동,77
강남구,세곡동,52
강남구,자곡동,52
강남구,율현동,52
강남구,일원동,44
강남구,수서동,51
강남구,도곡동,49
강남구,,60.92857142857143
송파구,잠실동,54
송파구,신천동,95
송파구,풍납동,76
송파구,송파동,45
송파구,석촌동,58
송파구,삼전동,47
송파구,가락동,49
송파구,문정동,48
송파구,장지동,50
송파구,방이동,63
송파구,오금동,50
송파구,거여동,53
송파구,마천동,56
송파구,,57.23076923076923
강동구,명일동,56
강동구,고덕동,70
강동구,상일동,91
강동구,길동,51
강동구,둔촌동,51
강동구,암사동,66
강동구,성내동,63
강동구,천호동,107
강동구,강일동,71
강동구,,69.55555555555556
